filename, push-downs, push-ups
pushup-20-1334-_jpg.rf.8f4685105f6d00ba89702c923586340c.jpg, 1, 0
push-ups_mp4-49_jpg.rf.8fb1f67a192c80d23aaf86bba1f2b3fb.jpg, 1, 0
images-13-_jpg.rf.8f519ec25206e7b1a88912638326a470.jpg, 1, 0
pushup-20-1524-_jpg.rf.901513e7b42e996758cdf27cf5d9f1c0.jpg, 0, 0
pushup-20-1501-_jpg.rf.8fdda99ca903fe61152e8f78d0a138c9.jpg, 0, 0
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-56_jpg.rf.8fd50757f8f71b17c8963efbecfb451a.jpg, 0, 1
pushup-20-332-_jpg.rf.9031e0d1c1fb1583e793c4d15cdbd865.jpg, 0, 1
OIP-41-_jpeg.rf.919820667bd24aa4bf6c96bc00eead1e.jpg, 0, 1
pushup-20-2064-_jpg.rf.8f7f93b386df3eb06a5381e34045dbae.jpg, 0, 0
pushup-20-1521-_jpg.rf.8f81146d3fac88508757d76e83a5c8da.jpg, 0, 0
images-18-_jpg.rf.905c74fecb8ceba81cc07680c1af6cd1.jpg, 0, 1
pushup-20-1640-_jpg.rf.90b1b6afdd22abcb889041244934045a.jpg, 0, 1
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-182_jpg.rf.90bbaa5aeb6d6c0468d79cd1aa005400.jpg, 0, 1
pushup-20-745-_jpg.rf.903b16b44ff66f620745f2aada312b89.jpg, 0, 1
pushup-20-586-_jpg.rf.90895a9ab4ea4580a44fd4a547925a51.jpg, 0, 1
pushup-20-1876-_jpg.rf.8f00b92c3a0eb53b6ac5e6a3936fb97c.jpg, 0, 1
pushup-20-898-_jpg.rf.8f4ce405afe37a967661546007fe0330.jpg, 0, 1
pushup-20-626-_jpg.rf.917e0cf2d4a9d7c6a7ed4c417c398fe2.jpg, 0, 1
push-ups_mp4-77_jpg.rf.9051b9f90b44776a16947d8d43ae6a2f.jpg, 0, 1
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-27_jpg.rf.915b2fb537da32a728b6b4a8a24af9ff.jpg, 0, 1
pushup-20-1891-_jpg.rf.91136e61cfd0743fa9018ade6b26f90e.jpg, 0, 0
pushup-20-182-_jpg.rf.9176190f0b5570b5ac75edd5aad53d59.jpg, 1, 0
pushup-20-1556-_jpg.rf.914871ac6254b0bf496c1d35ef6d2f58.jpg, 0, 0
push-ups_mp4-36_jpg.rf.9149dfe4829188493d622ff40c000b9f.jpg, 0, 1
pushup-20-1969-_jpg.rf.917f77d6fa594635f4407ea889b25702.jpg, 0, 0
Build-a-Bigger-Chest-With-This-Bodyweight-Workout_jpg.rf.91ac95825cbdb8834e3d152cd615cf63.jpg, 0, 1
pushup-20-607-_jpg.rf.920fcdc2814c90d5c7b0c79a0f43f0f7.jpg, 0, 1
pushup-20-794-_jpg.rf.91fdde84ceb2b9b3c09a41c4330f7b93.jpg, 1, 0
pushup-20-63-_jpg.rf.9274ee3f03545a5bb53d586ff44d059e.jpg, 1, 0
pushup-20-2034-_jpg.rf.9236c7faad3570f5225fcbd2a2d36621.jpg, 0, 0
pushup-20-2153-_jpg.rf.929f27bd41a377c0a8a01f47f500fa52.jpg, 1, 0
pushup-20-1463-_jpg.rf.91f959e7bfe51e4d0634a176a8ff246c.jpg, 1, 0
images-7-_jpeg.rf.92de82d64a1149a0db1a44f497140eb8.jpg, 0, 1
pushup-20-1823-_jpg.rf.92f5dc719e27c39de5e7cfb5cf4fb243.jpg, 0, 0
pushup-20-48-_jpg.rf.92ec282d8905fb25320d94bc0aaf9d67.jpg, 1, 0
images-34-_jpg.rf.92b5bf22840119d15ffde3ceb395d2ca.jpg, 0, 1
pushup-20-783-_jpg.rf.92f79d2632a872363928707543da08be.jpg, 0, 1
pushup-20-1927-_jpg.rf.93f3db4de0db12cf16241f962f67f7a7.jpg, 0, 0
images-16-_jpeg.rf.926f06ae254fd4c2c4f45a281af7eaea.jpg, 0, 1
pushup-20-1390-_jpg.rf.93d151e82a8067ffd6a60f8f12de9d71.jpg, 1, 0
pushup-20-450-_jpg.rf.93bbcbe7263c6d3213f1024886960835.jpg, 0, 1
pushup-20-1048-_jpg.rf.9355cc7bec4ce4116c09eb162cb56fce.jpg, 0, 1
pushup-20-497-_jpg.rf.9354e14a0d6f080198dd182a5dd96e16.jpg, 0, 1
pexels-ketut-subiyanto-4720264_jpg.rf.92f201531cd72c035400b1d28b017ffb.jpg, 0, 1
pushup-20-1053-_jpg.rf.943aaa700f0c0c8bc18811ee2bc27da1.jpg, 0, 1
pexels-andrea-piacquadio-3763885_jpg.rf.9310ecb1708c7eabdaf062fea03c6a85.jpg, 0, 1
pushup-20-2035-_jpg.rf.94203ee204bee52977d8c0991e7be3be.jpg, 0, 0
push-ups_mp4-16_jpg.rf.94574c95ea336dcc98b5f1e2a350b0ad.jpg, 0, 1
pushup-20-1478-_jpg.rf.93f712fedeee680a1d6f798c0901296d.jpg, 0, 1
pushup-20-1052-_jpg.rf.94f85c636560380de406abf358969e9f.jpg, 0, 1
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-187_jpg.rf.95e57f99b7a5929111ff8493c20ff3c8.jpg, 1, 0
pushup-20-121-_jpg.rf.94b3b060f74091be84fd05b1c80f43cf.jpg, 0, 1
pushup-20-433-_jpg.rf.95f257f20af39cb93e9ee7c25e31bb12.jpg, 0, 1
pushup-20-26-_jpg.rf.94f0d05e16c4d7e982ce3e9bfaf3c9db.jpg, 0, 1
pushup-20-1060-_jpg.rf.9681c371a7fe756fab892f90a905acf0.jpg, 0, 1
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-217_jpg.rf.94938afce040ca5d5993997289b306d1.jpg, 0, 1
pushup-20-385-_jpg.rf.95b9e762acb0536753652b8911f096c2.jpg, 1, 0
push-ups_mp4-22_jpg.rf.96aed163bc42d1e41295363081967d4d.jpg, 0, 1
pexels-ketut-subiyanto-4720268_jpg.rf.94a85ca190b1c2445b5d272e9769e942.jpg, 1, 0
pushup-20-1964-_jpg.rf.9598215c1dcb3868f47e6c59b57e361c.jpg, 0, 0
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-2_jpg.rf.95c8fd8fadb0f08b96c3520dfcfc53b7.jpg, 0, 1
pushup-20-382-_jpg.rf.954a308e0c47ecdffdf76190d524917e.jpg, 1, 0
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-13_jpg.rf.945ab6d403b69d059492b33f78bfde79.jpg, 0, 1
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-85_jpg.rf.950118dd910077dc9e48fd1a528eb332.jpg, 0, 1
pushup-20-1469-_jpg.rf.964c923ae40ac06c135b111a1b2c87e1.jpg, 0, 0
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-196_jpg.rf.946e560f1139835fdb96e3c26f8e597c.jpg, 0, 1
pushup-20-1484-_jpg.rf.968fd325d0cdea691900e123b1035806.jpg, 0, 0
pushup-20-346-_jpg.rf.955a866290697e24885589353a2f3e11.jpg, 0, 1
pushup-20-854-_jpg.rf.9660add9c675eeb51c87f7217a10225e.jpg, 1, 0
pushup-20-1213-_jpg.rf.965fa12073607da241b377fd802c4fd6.jpg, 0, 1
pushup-20-1929-_jpg.rf.967e268b832c89ddf33837cd0b066af4.jpg, 1, 0
push-ups_mp4-70_jpg.rf.9526ce01fda06170449b7cf7b78ca63a.jpg, 1, 0
pushup-20-102-_jpg.rf.96c419ffe31381f899ee0694533e867b.jpg, 0, 1
pushup-20-672-_jpg.rf.94fd6cea070e9a4a59a2eddd71cf30b5.jpg, 0, 1
pushup-20-204-_jpg.rf.96eb904af6ab7abaef3cea4a20be2865.jpg, 0, 1
pushup-20-2082-_jpg.rf.949ac4bc90a0d1fb57ca2cb631715855.jpg, 0, 0
pushup-20-1990-_jpg.rf.97167e40e3cbaa89e31e46f950845fc2.jpg, 0, 1
pushup-20-1977-_jpg.rf.971f5cb051b13ee87a121382d5f2606a.jpg, 0, 0
pushup-20-1957-_jpg.rf.980157be0adc23aa8dcd224d7588f78b.jpg, 0, 0
pushup-20-1611-_jpg.rf.97d8ba5ef55288a75241f107df663248.jpg, 0, 0
push-ups_mp4-87_jpg.rf.9805c4820b6539ad7ab704ceb85c1e19.jpg, 0, 1
pushup-20-225-_jpg.rf.979c7dac191005fb2e5dbbbb6de42e46.jpg, 0, 1
pushup-20-1679-_jpg.rf.9874eb28ab086d1954455c94ea69f13c.jpg, 0, 1
pushup-20-13-_jpg.rf.98b3233c6c7e6a139b4d4eb08e387deb.jpg, 0, 1
pushup-20-1364-_jpg.rf.986ee7b34660e876cee4ff46ae4ce549.jpg, 1, 0
pushup-20-421-_jpg.rf.97321665fc8107a8be67a92dd36d0cf1.jpg, 0, 1
pushup-20-1978-_jpg.rf.97d981d46e036e6a1c1d7bafd1c06a41.jpg, 0, 1
ab730ff6df511cf616195496cb237d33_jpg.rf.9804b0a1cfe12ba424f52d27be9bfbf2.jpg, 1, 0
akram-huseyn-JjdGVeUzb78-unsplash_jpg.rf.98f4190e584ae670b6eb27a359a8d608.jpg, 1, 0
WhatsApp-Video-2023-12-04-at-19_13_21_0e45c407_mp4-106_jpg.rf.99130b3d5a2ed7d3407b60dba4ea0b91.jpg, 0, 1
pushup-20-661-_jpg.rf.9732c411d15432f35a4b400fd3e31e19.jpg, 0, 1
pushup-20-61-_jpg.rf.993e38b2e35c24979d8f3ab1f48404ef.jpg, 1, 0
pushup-20-333-_jpg.rf.993993b542b29ebd7a90c6ffe69dd2bf.jpg, 0, 1
pushup-20-1473-_jpg.rf.9956675389dade90e1c239b170f26b6e.jpg, 0, 0
pushup-20-504-_jpg.rf.998a691311174aedc91b2b5935f3c713.jpg, 0, 1
